Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00     7036     0.00     0.00  bool __gnu_cxx::__ops::_Iter_less_val::operator()<__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, char const>(__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, char const&) const
  0.00      0.00     0.00     7036     0.00     0.00  void std::advance<__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, long>(__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >&, long)
  0.00      0.00     0.00     7036     0.00     0.00  void std::__advance<__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, long>(__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >&, long, std::random_access_iterator_tag)
  0.00      0.00     0.00     6191     0.00     0.00  bool __gnu_cxx::operator!=<std::pair<char, char> const*, std::vector<std::pair<char, char>, std::allocator<std::pair<char, char> > > >(__gnu_cxx::__normal_iterator<std::pair<char, char> const*, std::vector<std::pair<char, char>, std::allocator<std::pair<char, char> > > > const&, __gnu_cxx::__normal_iterator<std::pair<char, char> const*, std::vector<std::pair<char, char>, std::allocator<std::pair<char, char> > > > const&)
  0.00      0.00     0.00     3712     0.00     0.00  std::__detail::_RegexTranslator<std::__cxx11::regex_traits<char>, false, false>::_M_translate(char) const
  0.00      0.00     0.00     3668     0.00     0.00  __gnu_cxx::new_allocator<char>::max_size() const
  0.00      0.00     0.00     3656     0.00     0.00  bool __gnu_cxx::__is_null_pointer<char>(char*)
  0.00      0.00     0.00     3644     0.00     0.00  void std::_Destroy_aux<true>::__destroy<char*>(char*, char*)
  0.00      0.00     0.00     3644     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_M_deallocate(char*, unsigned long)
  0.00      0.00     0.00     3644     0.00     0.00  void std::_Destroy<char*>(char*, char*)
  0.00      0.00     0.00     3644     0.00     0.00  void std::_Destroy<char*, char>(char*, char*, std::allocator<char>&)
  0.00      0.00     0.00     3617     0.00     0.00  std::_Base_bitset<4ul>::_S_maskbit(unsigned long)
  0.00      0.00     0.00     3617     0.00     0.00  std::_Base_bitset<4ul>::_S_whichword(unsigned long)
  0.00      0.00     0.00     3612     0.00     0.00  __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >::difference_type __gnu_cxx::operator-<char const*, std::vector<char, std::allocator<char> > >(__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > > const&, __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > > const&)
  0.00      0.00     0.00     3611     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_Vector_impl::~_Vector_impl()
  0.00      0.00     0.00     3611     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::~_Vector_base()
  0.00      0.00     0.00     3611     0.00     0.00  std::vector<char, std::allocator<char> >::~vector()
  0.00      0.00     0.00     3606     0.00     0.00  std::vector<char, std::allocator<char> >::end() const
  0.00      0.00     0.00     3606     0.00     0.00  std::vector<char, std::allocator<char> >::begin() const
  0.00      0.00     0.00     3602     0.00     0.00  __gnu_cxx::new_allocator<char>::deallocate(char*, unsigned long)
  0.00      0.00     0.00     3602     0.00     0.00  __gnu_cxx::new_allocator<char>::allocate(unsigned long, void const*)
  0.00      0.00     0.00     3602     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_M_allocate(unsigned long)
  0.00      0.00     0.00     3602     0.00     0.00  std::allocator_traits<std::allocator<char> >::deallocate(std::allocator<char>&, char*, unsigned long)
  0.00      0.00     0.00     3602     0.00     0.00  std::allocator_traits<std::allocator<char> >::allocate(std::allocator<char>&, unsigned long)
  0.00      0.00     0.00     3598     0.00     0.00  std::bitset<256ul>::size() const
